Starting model=rnn epochs=10 batch=2 on host pax047
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Fri Apr 24 14:34:51 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000001:15:00.0 Off |                    0 |
| N/A   42C    P0             75W /  450W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA H200 NVL
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
No existing checkpoint found in /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/rnn/runs/job-483063. Starting fresh.
  Epoch 1/10 [   10/10445] │ batch_loss=96895.2969 │ grad_norm=378019.2500
  Epoch 1/10 [   20/10445] │ batch_loss=84886.6094 │ grad_norm=361518.2188
  Epoch 1/10 [   30/10445] │ batch_loss=87117.7734 │ grad_norm=387508.4375
  Epoch 1/10 [   40/10445] │ batch_loss=656143.9375 │ grad_norm=1431388.3750
  Epoch 1/10 [   50/10445] │ batch_loss=120163.6484 │ grad_norm=516896.8125
  Epoch 1/10 [   60/10445] │ batch_loss=129832.9531 │ grad_norm=339504.3438
  Epoch 1/10 [   70/10445] │ batch_loss=59114.2109 │ grad_norm=306594.4688
  Epoch 1/10 [   80/10445] │ batch_loss=208986.0312 │ grad_norm=702592.1875
  Epoch 1/10 [   90/10445] │ batch_loss=149602.7812 │ grad_norm=234535.9844
  Epoch 1/10 [  100/10445] │ batch_loss=119097.2969 │ grad_norm=346281.2500
  Epoch 1/10 [  110/10445] │ batch_loss=117988.0625 │ grad_norm=278285.9375
  Epoch 1/10 [  120/10445] │ batch_loss=71736.6719 │ grad_norm=177579.2656
  Epoch 1/10 [  130/10445] │ batch_loss=91938.7109 │ grad_norm=764747.1875
  Epoch 1/10 [  140/10445] │ batch_loss=139872.1562 │ grad_norm=742437.3750
  Epoch 1/10 [  150/10445] │ batch_loss=132121.3750 │ grad_norm=913078.5625
  Epoch 1/10 [  160/10445] │ batch_loss=61625.6328 │ grad_norm=852053.8750
  Epoch 1/10 [  170/10445] │ batch_loss=217125.8438 │ grad_norm=1055560.1250
  Epoch 1/10 [  180/10445] │ batch_loss=211568.3594 │ grad_norm=1294883.6250
  Epoch 1/10 [  190/10445] │ batch_loss=32481.7461 │ grad_norm=292823.5938
  Epoch 1/10 [  200/10445] │ batch_loss=351779.8750 │ grad_norm=1508358.6250
  Epoch 1/10 [  210/10445] │ batch_loss=96264.2500 │ grad_norm=1342942.7500
  Epoch 1/10 [  220/10445] │ batch_loss=129822.8984 │ grad_norm=526774.3125
  Epoch 1/10 [  230/10445] │ batch_loss=160473.4062 │ grad_norm=1881280.0000
  Epoch 1/10 [  240/10445] │ batch_loss=76440.5781 │ grad_norm=1919848.0000
  Epoch 1/10 [  250/10445] │ batch_loss=33991.0117 │ grad_norm=272394.1875
  Epoch 1/10 [  260/10445] │ batch_loss=123359.7656 │ grad_norm=2954750.2500
  Epoch 1/10 [  270/10445] │ batch_loss=65087.1797 │ grad_norm=342541.6562
  Epoch 1/10 [  280/10445] │ batch_loss=49763.2305 │ grad_norm=534736.1250
  Epoch 1/10 [  290/10445] │ batch_loss=319378.4375 │ grad_norm=586809.0625
  Epoch 1/10 [  300/10445] │ batch_loss=131092.5000 │ grad_norm=1016265.5000
  Epoch 1/10 [  310/10445] │ batch_loss=509034.3438 │ grad_norm=1288093.2500
  Epoch 1/10 [  320/10445] │ batch_loss=362254.9375 │ grad_norm=2932688.5000
  Epoch 1/10 [  330/10445] │ batch_loss=24671.2461 │ grad_norm=211851.0156
  Epoch 1/10 [  340/10445] │ batch_loss=122404.9375 │ grad_norm=5518652.0000
  Epoch 1/10 [  350/10445] │ batch_loss=86126.9766 │ grad_norm=474944.7812
  Epoch 1/10 [  360/10445] │ batch_loss=25178.8105 │ grad_norm=611972.3750
  Epoch 1/10 [  370/10445] │ batch_loss=64425.1055 │ grad_norm=1078758.0000
  Epoch 1/10 [  380/10445] │ batch_loss=112270.3594 │ grad_norm=1241526.0000
  Epoch 1/10 [  390/10445] │ batch_loss=13955.7061 │ grad_norm=209990.7656
  Epoch 1/10 [  400/10445] │ batch_loss=78057.6719 │ grad_norm=1238981.1250
  Epoch 1/10 [  410/10445] │ batch_loss=27555.7715 │ grad_norm=326939.4375
  Epoch 1/10 [  420/10445] │ batch_loss=144862.6250 │ grad_norm=1018491.8125
  Epoch 1/10 [  430/10445] │ batch_loss=121248.6094 │ grad_norm=380570.0625
  Epoch 1/10 [  440/10445] │ batch_loss=33314.8945 │ grad_norm=295774.7500
  Epoch 1/10 [  450/10445] │ batch_loss=212647.4062 │ grad_norm=296320.9375
  Epoch 1/10 [  460/10445] │ batch_loss=172037.0938 │ grad_norm=372922.0625
  Epoch 1/10 [  470/10445] │ batch_loss=29359.4062 │ grad_norm=234271.1094
  Epoch 1/10 [  480/10445] │ batch_loss=73416.7500 │ grad_norm=430799.1250
  Epoch 1/10 [  490/10445] │ batch_loss=55180.9062 │ grad_norm=568109.5625
  Epoch 1/10 [  500/10445] │ batch_loss=30578.3086 │ grad_norm=379470.1250
  Epoch 1/10 [  510/10445] │ batch_loss=122344.1484 │ grad_norm=441331.6875
  Epoch 1/10 [  520/10445] │ batch_loss=64715.7188 │ grad_norm=572910.0625
  Epoch 1/10 [  530/10445] │ batch_loss=97598.6250 │ grad_norm=492322.2188
  Epoch 1/10 [  540/10445] │ batch_loss=30777.1777 │ grad_norm=528250.9375
  Epoch 1/10 [  550/10445] │ batch_loss=49686.0703 │ grad_norm=326782.9688
  Epoch 1/10 [  560/10445] │ batch_loss=92093.5234 │ grad_norm=1490791.7500
  Epoch 1/10 [  570/10445] │ batch_loss=22347.2656 │ grad_norm=158431.8125
  Epoch 1/10 [  580/10445] │ batch_loss=44292.1055 │ grad_norm=259106.4844
  Epoch 1/10 [  590/10445] │ batch_loss=387685.5000 │ grad_norm=2121615.5000
  Epoch 1/10 [  600/10445] │ batch_loss=51796.8359 │ grad_norm=762447.0000
  Epoch 1/10 [  610/10445] │ batch_loss=27597.3398 │ grad_norm=649487.1875
  Epoch 1/10 [  620/10445] │ batch_loss=90599.6562 │ grad_norm=1583389.6250
  Epoch 1/10 [  630/10445] │ batch_loss=449461.2500 │ grad_norm=943676.8750
  Epoch 1/10 [  640/10445] │ batch_loss=134895.2188 │ grad_norm=501880.0625
  Epoch 1/10 [  650/10445] │ batch_loss=46431.8906 │ grad_norm=593782.1875
  Epoch 1/10 [  660/10445] │ batch_loss=225862.1719 │ grad_norm=380862.7812
  Epoch 1/10 [  670/10445] │ batch_loss=187078.5000 │ grad_norm=5069331.0000
  Epoch 1/10 [  680/10445] │ batch_loss=348927.2500 │ grad_norm=991092.1250
  Epoch 1/10 [  690/10445] │ batch_loss=246331.4688 │ grad_norm=473010.9375
  Epoch 1/10 [  700/10445] │ batch_loss=60150.3086 │ grad_norm=1445022.3750
  Epoch 1/10 [  710/10445] │ batch_loss=102715.7109 │ grad_norm=803665.7500
  Epoch 1/10 [  720/10445] │ batch_loss=71442.0781 │ grad_norm=662690.1250
  Epoch 1/10 [  730/10445] │ batch_loss=63660.7734 │ grad_norm=515800.2812
  Epoch 1/10 [  740/10445] │ batch_loss=39934.8125 │ grad_norm=641869.0625
  Epoch 1/10 [  750/10445] │ batch_loss=16923.3906 │ grad_norm=243772.2500
  Epoch 1/10 [  760/10445] │ batch_loss=123138.8047 │ grad_norm=718879.8750
  Epoch 1/10 [  770/10445] │ batch_loss=39537.9453 │ grad_norm=330041.1562
  Epoch 1/10 [  780/10445] │ batch_loss=80637.2812 │ grad_norm=1112224.5000
  Epoch 1/10 [  790/10445] │ batch_loss=16431.4219 │ grad_norm=184389.6719
  Epoch 1/10 [  800/10445] │ batch_loss=18155.3086 │ grad_norm=232847.6094
  Epoch 1/10 [  810/10445] │ batch_loss=46963.7109 │ grad_norm=520349.7188
  Epoch 1/10 [  820/10445] │ batch_loss=45904.6328 │ grad_norm=880726.3750
  Epoch 1/10 [  830/10445] │ batch_loss=40627.5195 │ grad_norm=486353.7500
  Epoch 1/10 [  840/10445] │ batch_loss=344107.7188 │ grad_norm=964001.1250
  Epoch 1/10 [  850/10445] │ batch_loss=36654.2891 │ grad_norm=424172.3750
  Epoch 1/10 [  860/10445] │ batch_loss=39119.2578 │ grad_norm=459944.5000
  Epoch 1/10 [  870/10445] │ batch_loss=56852.2969 │ grad_norm=714846.1875
  Epoch 1/10 [  880/10445] │ batch_loss=60478.7148 │ grad_norm=689649.6875
  Epoch 1/10 [  890/10445] │ batch_loss=135875.9844 │ grad_norm=1643396.5000
  Epoch 1/10 [  900/10445] │ batch_loss=43867.9609 │ grad_norm=217308.2031
  Epoch 1/10 [  910/10445] │ batch_loss=37239.7539 │ grad_norm=325104.0312
