Starting model=transformer epochs=10 batch=2 on host pax064
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Fri Apr 24 15:28:53 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:3F:00.0 Off |                    0 |
| N/A   32C    P8             34W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA L40S
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
No existing checkpoint found in /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/transformer/runs/job-483062. Starting fresh.
  Epoch 1/10 [   10/11751] │ batch_loss=91963.4844 │ grad_norm=241873.6094
  Epoch 1/10 [   20/11751] │ batch_loss=142008.8125 │ grad_norm=519532.2812
  Epoch 1/10 [   30/11751] │ batch_loss=81286.1406 │ grad_norm=366229.0000
  Epoch 1/10 [   40/11751] │ batch_loss=80120.8281 │ grad_norm=293125.0312
  Epoch 1/10 [   50/11751] │ batch_loss=84682.2188 │ grad_norm=261560.1562
  Epoch 1/10 [   60/11751] │ batch_loss=110680.3594 │ grad_norm=440894.2500
  Epoch 1/10 [   70/11751] │ batch_loss=248002.1250 │ grad_norm=722105.0000
  Epoch 1/10 [   80/11751] │ batch_loss=127258.9688 │ grad_norm=525138.8125
  Epoch 1/10 [   90/11751] │ batch_loss=128833.5625 │ grad_norm=350111.8750
  Epoch 1/10 [  100/11751] │ batch_loss=118582.6250 │ grad_norm=456129.3750
  Epoch 1/10 [  110/11751] │ batch_loss=151469.0469 │ grad_norm=230868.5156
  Epoch 1/10 [  120/11751] │ batch_loss=82071.1016 │ grad_norm=223000.9375
  Epoch 1/10 [  130/11751] │ batch_loss=107159.1094 │ grad_norm=491603.9688
  Epoch 1/10 [  140/11751] │ batch_loss=68712.0312 │ grad_norm=205694.0469
  Epoch 1/10 [  150/11751] │ batch_loss=180196.2500 │ grad_norm=501631.1875
  Epoch 1/10 [  160/11751] │ batch_loss=182192.2188 │ grad_norm=844065.8750
  Epoch 1/10 [  170/11751] │ batch_loss=139285.1875 │ grad_norm=758570.3125
  Epoch 1/10 [  180/11751] │ batch_loss=83515.1016 │ grad_norm=383675.8438
  Epoch 1/10 [  190/11751] │ batch_loss=98781.6562 │ grad_norm=693382.6250
  Epoch 1/10 [  200/11751] │ batch_loss=123052.6094 │ grad_norm=440066.8750
  Epoch 1/10 [  210/11751] │ batch_loss=86142.5859 │ grad_norm=431282.2812
  Epoch 1/10 [  220/11751] │ batch_loss=49758.8516 │ grad_norm=269533.1250
  Epoch 1/10 [  230/11751] │ batch_loss=40757.9570 │ grad_norm=359885.2812
  Epoch 1/10 [  240/11751] │ batch_loss=73244.5859 │ grad_norm=542362.0000
  Epoch 1/10 [  250/11751] │ batch_loss=54348.3867 │ grad_norm=473189.5312
  Epoch 1/10 [  260/11751] │ batch_loss=242720.8594 │ grad_norm=966886.3750
  Epoch 1/10 [  270/11751] │ batch_loss=67037.3906 │ grad_norm=322149.1250
  Epoch 1/10 [  280/11751] │ batch_loss=45932.6094 │ grad_norm=324003.5000
  Epoch 1/10 [  290/11751] │ batch_loss=298848.0000 │ grad_norm=1350820.7500
  Epoch 1/10 [  300/11751] │ batch_loss=104094.8594 │ grad_norm=644192.1250
  Epoch 1/10 [  310/11751] │ batch_loss=52158.6680 │ grad_norm=387145.6562
  Epoch 1/10 [  320/11751] │ batch_loss=53295.2148 │ grad_norm=559163.8125
  Epoch 1/10 [  330/11751] │ batch_loss=59044.9062 │ grad_norm=528829.3750
  Epoch 1/10 [  340/11751] │ batch_loss=111413.1875 │ grad_norm=725847.5625
  Epoch 1/10 [  350/11751] │ batch_loss=90616.9375 │ grad_norm=532908.7500
  Epoch 1/10 [  360/11751] │ batch_loss=26130.4648 │ grad_norm=183672.8750
  Epoch 1/10 [  370/11751] │ batch_loss=57069.2188 │ grad_norm=492899.3438
  Epoch 1/10 [  380/11751] │ batch_loss=28490.9336 │ grad_norm=359755.2188
  Epoch 1/10 [  390/11751] │ batch_loss=40888.6172 │ grad_norm=125648.4688
  Epoch 1/10 [  400/11751] │ batch_loss=107844.2344 │ grad_norm=631941.5625
  Epoch 1/10 [  410/11751] │ batch_loss=157810.1094 │ grad_norm=672353.9375
  Epoch 1/10 [  420/11751] │ batch_loss=247957.2344 │ grad_norm=1425826.0000
  Epoch 1/10 [  430/11751] │ batch_loss=86184.4375 │ grad_norm=573214.3750
  Epoch 1/10 [  440/11751] │ batch_loss=74567.4609 │ grad_norm=432603.3125
  Epoch 1/10 [  450/11751] │ batch_loss=97926.7344 │ grad_norm=826301.0000
  Epoch 1/10 [  460/11751] │ batch_loss=42511.9141 │ grad_norm=192253.2969
  Epoch 1/10 [  470/11751] │ batch_loss=68065.2812 │ grad_norm=532687.0000
  Epoch 1/10 [  480/11751] │ batch_loss=103097.5547 │ grad_norm=817632.5000
  Epoch 1/10 [  490/11751] │ batch_loss=73974.6406 │ grad_norm=453294.2188
  Epoch 1/10 [  500/11751] │ batch_loss=56067.4492 │ grad_norm=600338.5000
  Epoch 1/10 [  510/11751] │ batch_loss=40087.4023 │ grad_norm=208241.7812
  Epoch 1/10 [  520/11751] │ batch_loss=156328.3906 │ grad_norm=860735.8750
  Epoch 1/10 [  530/11751] │ batch_loss=50139.0742 │ grad_norm=653761.3125
  Epoch 1/10 [  540/11751] │ batch_loss=47198.6797 │ grad_norm=380158.0312
  Epoch 1/10 [  550/11751] │ batch_loss=89108.3125 │ grad_norm=696516.9375
  Epoch 1/10 [  560/11751] │ batch_loss=343803.5938 │ grad_norm=1377322.0000
  Epoch 1/10 [  570/11751] │ batch_loss=63857.9688 │ grad_norm=779786.0625
  Epoch 1/10 [  580/11751] │ batch_loss=319902.9375 │ grad_norm=1565326.2500
  Epoch 1/10 [  590/11751] │ batch_loss=60395.1211 │ grad_norm=343511.5312
  Epoch 1/10 [  600/11751] │ batch_loss=194769.0625 │ grad_norm=1141304.8750
  Epoch 1/10 [  610/11751] │ batch_loss=25765.5215 │ grad_norm=144153.8906
  Epoch 1/10 [  620/11751] │ batch_loss=46025.4492 │ grad_norm=465429.6250
  Epoch 1/10 [  630/11751] │ batch_loss=145963.8594 │ grad_norm=1020586.5625
  Epoch 1/10 [  640/11751] │ batch_loss=193755.1875 │ grad_norm=1028850.9375
  Epoch 1/10 [  650/11751] │ batch_loss=39737.6406 │ grad_norm=268107.5312
  Epoch 1/10 [  660/11751] │ batch_loss=60238.4922 │ grad_norm=554010.6875
  Epoch 1/10 [  670/11751] │ batch_loss=153633.4062 │ grad_norm=1034625.3125
  Epoch 1/10 [  680/11751] │ batch_loss=93427.8750 │ grad_norm=750422.1875
  Epoch 1/10 [  690/11751] │ batch_loss=60540.4805 │ grad_norm=453951.4688
  Epoch 1/10 [  700/11751] │ batch_loss=68373.8672 │ grad_norm=396178.5938
  Epoch 1/10 [  710/11751] │ batch_loss=40463.6680 │ grad_norm=861002.4375
  Epoch 1/10 [  720/11751] │ batch_loss=44811.5625 │ grad_norm=322788.5625
  Epoch 1/10 [  730/11751] │ batch_loss=53231.9219 │ grad_norm=372481.8438
  Epoch 1/10 [  740/11751] │ batch_loss=115109.6875 │ grad_norm=892237.2500
  Epoch 1/10 [  750/11751] │ batch_loss=69836.7188 │ grad_norm=449312.8438
  Epoch 1/10 [  760/11751] │ batch_loss=58743.0312 │ grad_norm=381331.4062
  Epoch 1/10 [  770/11751] │ batch_loss=73295.9297 │ grad_norm=673939.8750
  Epoch 1/10 [  780/11751] │ batch_loss=96888.1406 │ grad_norm=1275766.6250
