Starting model=transformer epochs=10 batch=2 on host pax047
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sat Apr 25 07:38:50 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000000:15:00.0 Off |                    0 |
| N/A   48C    P0             76W /  450W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA H200 NVL
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/transformer/runs/job-483062/latest.pt (next epoch 3)
  Epoch 3/10 [   10/11751] │ batch_loss=4349.7266 │ grad_norm=88044.1094
  Epoch 3/10 [   20/11751] │ batch_loss=6153.6582 │ grad_norm=162635.2969
  Epoch 3/10 [   30/11751] │ batch_loss=10417.3223 │ grad_norm=287578.6562
  Epoch 3/10 [   40/11751] │ batch_loss=4329.3242 │ grad_norm=48184.8750
  Epoch 3/10 [   50/11751] │ batch_loss=10708.2520 │ grad_norm=179592.4062
  Epoch 3/10 [   60/11751] │ batch_loss=3467.0537 │ grad_norm=59401.0312
  Epoch 3/10 [   70/11751] │ batch_loss=15517.7754 │ grad_norm=295372.8438
  Epoch 3/10 [   80/11751] │ batch_loss=3184.0566 │ grad_norm=79074.2812
  Epoch 3/10 [   90/11751] │ batch_loss=6083.5107 │ grad_norm=120995.1016
  Epoch 3/10 [  100/11751] │ batch_loss=6124.1475 │ grad_norm=106304.2422
  Epoch 3/10 [  110/11751] │ batch_loss=5176.5361 │ grad_norm=94436.9141
  Epoch 3/10 [  120/11751] │ batch_loss=11210.7529 │ grad_norm=194135.1094
  Epoch 3/10 [  130/11751] │ batch_loss=3027.0427 │ grad_norm=46836.2617
  Epoch 3/10 [  140/11751] │ batch_loss=3564.9272 │ grad_norm=54461.4727
  Epoch 3/10 [  150/11751] │ batch_loss=6465.2842 │ grad_norm=161726.2031
  Epoch 3/10 [  160/11751] │ batch_loss=8299.5635 │ grad_norm=272176.3125
  Epoch 3/10 [  170/11751] │ batch_loss=5218.9639 │ grad_norm=107309.4219
  Epoch 3/10 [  180/11751] │ batch_loss=17046.2266 │ grad_norm=330577.1562
  Epoch 3/10 [  190/11751] │ batch_loss=7469.1465 │ grad_norm=151513.4688
  Epoch 3/10 [  200/11751] │ batch_loss=4654.6895 │ grad_norm=114446.9531
  Epoch 3/10 [  210/11751] │ batch_loss=5197.2573 │ grad_norm=160658.6562
  Epoch 3/10 [  220/11751] │ batch_loss=28645.1094 │ grad_norm=360325.0000
  Epoch 3/10 [  230/11751] │ batch_loss=2102.2124 │ grad_norm=33085.9883
  Epoch 3/10 [  240/11751] │ batch_loss=8926.5352 │ grad_norm=157914.7031
  Epoch 3/10 [  250/11751] │ batch_loss=7686.2412 │ grad_norm=91742.7578
  Epoch 3/10 [  260/11751] │ batch_loss=14020.8535 │ grad_norm=304738.1875
  Epoch 3/10 [  270/11751] │ batch_loss=13844.9453 │ grad_norm=268149.5000
  Epoch 3/10 [  280/11751] │ batch_loss=4058.6121 │ grad_norm=68980.9844
  Epoch 3/10 [  290/11751] │ batch_loss=32480.1719 │ grad_norm=627323.6875
  Epoch 3/10 [  300/11751] │ batch_loss=25328.1055 │ grad_norm=573201.5625
  Epoch 3/10 [  310/11751] │ batch_loss=38700.9453 │ grad_norm=619574.3750
  Epoch 3/10 [  320/11751] │ batch_loss=24241.4336 │ grad_norm=329990.8750
  Epoch 3/10 [  330/11751] │ batch_loss=3915.2227 │ grad_norm=100820.6250
  Epoch 3/10 [  340/11751] │ batch_loss=19798.8711 │ grad_norm=382173.7812
  Epoch 3/10 [  350/11751] │ batch_loss=4063.5730 │ grad_norm=100120.1016
  Epoch 3/10 [  360/11751] │ batch_loss=6107.4707 │ grad_norm=152857.0469
  Epoch 3/10 [  370/11751] │ batch_loss=16746.5762 │ grad_norm=225521.8281
  Epoch 3/10 [  380/11751] │ batch_loss=20038.3125 │ grad_norm=397951.7188
  Epoch 3/10 [  390/11751] │ batch_loss=15360.3730 │ grad_norm=230341.2188
  Epoch 3/10 [  400/11751] │ batch_loss=4536.9365 │ grad_norm=85722.8438
  Epoch 3/10 [  410/11751] │ batch_loss=6094.6733 │ grad_norm=131621.2656
  Epoch 3/10 [  420/11751] │ batch_loss=15460.7656 │ grad_norm=185433.2812
  Epoch 3/10 [  430/11751] │ batch_loss=5728.5107 │ grad_norm=158855.5312
  Epoch 3/10 [  440/11751] │ batch_loss=21859.2578 │ grad_norm=419976.6875
  Epoch 3/10 [  450/11751] │ batch_loss=2504.1421 │ grad_norm=40769.6055
  Epoch 3/10 [  460/11751] │ batch_loss=4493.8809 │ grad_norm=66445.0156
  Epoch 3/10 [  470/11751] │ batch_loss=2563.3569 │ grad_norm=40782.8555
  Epoch 3/10 [  480/11751] │ batch_loss=5479.0308 │ grad_norm=99469.3906
  Epoch 3/10 [  490/11751] │ batch_loss=5738.2358 │ grad_norm=242369.8750
  Epoch 3/10 [  500/11751] │ batch_loss=3423.7085 │ grad_norm=74069.4844
  Epoch 3/10 [  510/11751] │ batch_loss=7283.5693 │ grad_norm=140334.2188
  Epoch 3/10 [  520/11751] │ batch_loss=16220.9668 │ grad_norm=215991.1406
  Epoch 3/10 [  530/11751] │ batch_loss=6788.6616 │ grad_norm=119806.4844
  Epoch 3/10 [  540/11751] │ batch_loss=5990.8037 │ grad_norm=93088.7344
  Epoch 3/10 [  550/11751] │ batch_loss=11779.8389 │ grad_norm=293922.3438
  Epoch 3/10 [  560/11751] │ batch_loss=2637.2319 │ grad_norm=67031.5078
  Epoch 3/10 [  570/11751] │ batch_loss=13069.5068 │ grad_norm=146079.2812
  Epoch 3/10 [  580/11751] │ batch_loss=1957.3451 │ grad_norm=33108.1562
  Epoch 3/10 [  590/11751] │ batch_loss=7248.4897 │ grad_norm=198335.7812
  Epoch 3/10 [  600/11751] │ batch_loss=3827.4600 │ grad_norm=101171.7109
  Epoch 3/10 [  610/11751] │ batch_loss=2857.3486 │ grad_norm=87330.3750
  Epoch 3/10 [  620/11751] │ batch_loss=4398.1128 │ grad_norm=73051.0938
  Epoch 3/10 [  630/11751] │ batch_loss=3003.0769 │ grad_norm=53610.5195
  Epoch 3/10 [  640/11751] │ batch_loss=20783.4258 │ grad_norm=460461.7812
  Epoch 3/10 [  650/11751] │ batch_loss=2913.4399 │ grad_norm=57135.8164
  Epoch 3/10 [  660/11751] │ batch_loss=5065.0117 │ grad_norm=88985.3516
  Epoch 3/10 [  670/11751] │ batch_loss=9903.7695 │ grad_norm=98791.4297
  Epoch 3/10 [  680/11751] │ batch_loss=6251.4058 │ grad_norm=156989.3750
  Epoch 3/10 [  690/11751] │ batch_loss=10689.4033 │ grad_norm=201417.0469
  Epoch 3/10 [  700/11751] │ batch_loss=6840.0620 │ grad_norm=119243.8438
  Epoch 3/10 [  710/11751] │ batch_loss=23238.6465 │ grad_norm=313076.3438
  Epoch 3/10 [  720/11751] │ batch_loss=2937.7891 │ grad_norm=60559.3086
  Epoch 3/10 [  730/11751] │ batch_loss=3730.5203 │ grad_norm=66095.1250
  Epoch 3/10 [  740/11751] │ batch_loss=2804.8867 │ grad_norm=59485.5781
  Epoch 3/10 [  750/11751] │ batch_loss=3976.5457 │ grad_norm=122260.5234
  Epoch 3/10 [  760/11751] │ batch_loss=7811.0508 │ grad_norm=231482.6094
  Epoch 3/10 [  770/11751] │ batch_loss=2972.6169 │ grad_norm=101899.7891
  Epoch 3/10 [  780/11751] │ batch_loss=2229.5098 │ grad_norm=55495.8711
