Starting model=rnn epochs=10 batch=2 on host pax047
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sat Apr 25 07:39:01 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000001:15:00.0 Off |                    0 |
| N/A   41C    P0             74W /  450W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA H200 NVL
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/rnn/runs/job-483063/latest.pt (next epoch 4)
  Epoch 4/10 [   10/10445] │ batch_loss=3287.9473 │ grad_norm=97340.4531
  Epoch 4/10 [   20/10445] │ batch_loss=3976.0171 │ grad_norm=74622.9609
  Epoch 4/10 [   30/10445] │ batch_loss=7989.1035 │ grad_norm=204224.7656
  Epoch 4/10 [   40/10445] │ batch_loss=3544.1172 │ grad_norm=81994.8359
  Epoch 4/10 [   50/10445] │ batch_loss=2504.9109 │ grad_norm=59384.1992
  Epoch 4/10 [   60/10445] │ batch_loss=22659.8184 │ grad_norm=985881.6250
  Epoch 4/10 [   70/10445] │ batch_loss=9343.1133 │ grad_norm=366943.7188
  Epoch 4/10 [   80/10445] │ batch_loss=4700.3984 │ grad_norm=186090.5000
  Epoch 4/10 [   90/10445] │ batch_loss=1722.6919 │ grad_norm=26441.5762
  Epoch 4/10 [  100/10445] │ batch_loss=3713.4832 │ grad_norm=106932.2422
  Epoch 4/10 [  110/10445] │ batch_loss=5611.2456 │ grad_norm=147890.4844
  Epoch 4/10 [  120/10445] │ batch_loss=13022.2012 │ grad_norm=518165.9375
  Epoch 4/10 [  130/10445] │ batch_loss=9590.7881 │ grad_norm=105254.6016
  Epoch 4/10 [  140/10445] │ batch_loss=3895.3853 │ grad_norm=74592.9297
  Epoch 4/10 [  150/10445] │ batch_loss=5302.6562 │ grad_norm=127698.6094
  Epoch 4/10 [  160/10445] │ batch_loss=3243.4805 │ grad_norm=78725.7578
  Epoch 4/10 [  170/10445] │ batch_loss=4895.2002 │ grad_norm=276309.1562
  Epoch 4/10 [  180/10445] │ batch_loss=6858.7090 │ grad_norm=132121.0156
  Epoch 4/10 [  190/10445] │ batch_loss=6692.2021 │ grad_norm=155190.5938
  Epoch 4/10 [  200/10445] │ batch_loss=2470.8589 │ grad_norm=53216.5234
  Epoch 4/10 [  210/10445] │ batch_loss=4788.2017 │ grad_norm=102451.5078
  Epoch 4/10 [  220/10445] │ batch_loss=3591.6296 │ grad_norm=146684.2656
  Epoch 4/10 [  230/10445] │ batch_loss=2770.4460 │ grad_norm=67274.3203
  Epoch 4/10 [  240/10445] │ batch_loss=3369.3765 │ grad_norm=102197.1797
  Epoch 4/10 [  250/10445] │ batch_loss=7194.8564 │ grad_norm=279100.9062
  Epoch 4/10 [  260/10445] │ batch_loss=12089.1797 │ grad_norm=190535.5625
  Epoch 4/10 [  270/10445] │ batch_loss=2255.4397 │ grad_norm=42517.7930
  Epoch 4/10 [  280/10445] │ batch_loss=2804.3081 │ grad_norm=117564.6953
  Epoch 4/10 [  290/10445] │ batch_loss=1609.6316 │ grad_norm=74591.5156
  Epoch 4/10 [  300/10445] │ batch_loss=3727.9272 │ grad_norm=60916.5625
  Epoch 4/10 [  310/10445] │ batch_loss=5051.5581 │ grad_norm=198867.1406
  Epoch 4/10 [  320/10445] │ batch_loss=4472.5073 │ grad_norm=161310.3281
  Epoch 4/10 [  330/10445] │ batch_loss=10385.7695 │ grad_norm=204731.5312
  Epoch 4/10 [  340/10445] │ batch_loss=1890.5648 │ grad_norm=47223.6719
  Epoch 4/10 [  350/10445] │ batch_loss=5393.6914 │ grad_norm=130833.3203
  Epoch 4/10 [  360/10445] │ batch_loss=2971.6245 │ grad_norm=91542.7031
  Epoch 4/10 [  370/10445] │ batch_loss=2405.7788 │ grad_norm=98475.1484
  Epoch 4/10 [  380/10445] │ batch_loss=7529.9365 │ grad_norm=248683.3438
  Epoch 4/10 [  390/10445] │ batch_loss=2840.3257 │ grad_norm=94213.1953
  Epoch 4/10 [  400/10445] │ batch_loss=2590.3862 │ grad_norm=49902.9023
  Epoch 4/10 [  410/10445] │ batch_loss=22656.6523 │ grad_norm=536115.5000
  Epoch 4/10 [  420/10445] │ batch_loss=7256.2080 │ grad_norm=229492.0781
  Epoch 4/10 [  430/10445] │ batch_loss=5340.7686 │ grad_norm=140114.2656
  Epoch 4/10 [  440/10445] │ batch_loss=28698.6836 │ grad_norm=640606.3750
  Epoch 4/10 [  450/10445] │ batch_loss=3597.0391 │ grad_norm=106966.2578
  Epoch 4/10 [  460/10445] │ batch_loss=3456.0037 │ grad_norm=90216.2500
  Epoch 4/10 [  470/10445] │ batch_loss=3115.6948 │ grad_norm=131065.6953
  Epoch 4/10 [  480/10445] │ batch_loss=10322.3301 │ grad_norm=372875.2812
  Epoch 4/10 [  490/10445] │ batch_loss=3892.4482 │ grad_norm=149630.1562
  Epoch 4/10 [  500/10445] │ batch_loss=2269.0632 │ grad_norm=51206.1758
  Epoch 4/10 [  510/10445] │ batch_loss=3310.4429 │ grad_norm=104923.3047
  Epoch 4/10 [  520/10445] │ batch_loss=30056.7324 │ grad_norm=609737.9375
  Epoch 4/10 [  530/10445] │ batch_loss=3059.7520 │ grad_norm=52893.5742
  Epoch 4/10 [  540/10445] │ batch_loss=7455.6904 │ grad_norm=167983.5469
  Epoch 4/10 [  550/10445] │ batch_loss=4496.4956 │ grad_norm=113545.7578
  Epoch 4/10 [  560/10445] │ batch_loss=3315.0742 │ grad_norm=68483.5469
  Epoch 4/10 [  570/10445] │ batch_loss=3859.1250 │ grad_norm=119143.3125
  Epoch 4/10 [  580/10445] │ batch_loss=1889.4574 │ grad_norm=56971.7227
  Epoch 4/10 [  590/10445] │ batch_loss=5443.3379 │ grad_norm=95985.5312
  Epoch 4/10 [  600/10445] │ batch_loss=4692.0781 │ grad_norm=107515.7969
  Epoch 4/10 [  610/10445] │ batch_loss=5550.4795 │ grad_norm=219314.4844
  Epoch 4/10 [  620/10445] │ batch_loss=10263.7148 │ grad_norm=469088.4062
  Epoch 4/10 [  630/10445] │ batch_loss=14111.8672 │ grad_norm=657251.5000
  Epoch 4/10 [  640/10445] │ batch_loss=2532.4434 │ grad_norm=95373.3906
  Epoch 4/10 [  650/10445] │ batch_loss=8647.7539 │ grad_norm=319023.8125
  Epoch 4/10 [  660/10445] │ batch_loss=4957.2578 │ grad_norm=55251.7031
  Epoch 4/10 [  670/10445] │ batch_loss=8881.0996 │ grad_norm=326203.3125
  Epoch 4/10 [  680/10445] │ batch_loss=4296.1318 │ grad_norm=93031.9062
  Epoch 4/10 [  690/10445] │ batch_loss=2821.1631 │ grad_norm=44122.8555
  Epoch 4/10 [  700/10445] │ batch_loss=8213.2402 │ grad_norm=615752.1875
  Epoch 4/10 [  710/10445] │ batch_loss=6241.8945 │ grad_norm=218128.8906
  Epoch 4/10 [  720/10445] │ batch_loss=4152.2920 │ grad_norm=94185.1719
  Epoch 4/10 [  730/10445] │ batch_loss=7737.1016 │ grad_norm=230437.4062
  Epoch 4/10 [  740/10445] │ batch_loss=3120.1179 │ grad_norm=69305.7500
  Epoch 4/10 [  750/10445] │ batch_loss=2338.4434 │ grad_norm=48205.0859
  Epoch 4/10 [  760/10445] │ batch_loss=7569.2148 │ grad_norm=179541.1562
  Epoch 4/10 [  770/10445] │ batch_loss=3927.1921 │ grad_norm=172288.9062
  Epoch 4/10 [  780/10445] │ batch_loss=2770.6267 │ grad_norm=53609.0508
