Starting model=transformer epochs=10 batch=2 on host pax048
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sun Apr 26 06:26:56 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40                     On  |   00000000:4A:00.0 Off |                    0 |
| N/A   31C    P8             35W /  300W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA L40
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/transformer/runs/job-483062/latest.pt (next epoch 3)
  Epoch 3/10 [   10/11751] │ batch_loss=4246.8037 │ grad_norm=82886.2734
  Epoch 3/10 [   20/11751] │ batch_loss=10990.2217 │ grad_norm=193573.2188
  Epoch 3/10 [   30/11751] │ batch_loss=3411.6030 │ grad_norm=80509.9375
  Epoch 3/10 [   40/11751] │ batch_loss=16006.8359 │ grad_norm=285493.3125
  Epoch 3/10 [   50/11751] │ batch_loss=4851.0781 │ grad_norm=72146.9453
  Epoch 3/10 [   60/11751] │ batch_loss=8491.5713 │ grad_norm=172788.1562
  Epoch 3/10 [   70/11751] │ batch_loss=4401.8096 │ grad_norm=55964.4922
  Epoch 3/10 [   80/11751] │ batch_loss=8176.2334 │ grad_norm=150365.8438
  Epoch 3/10 [   90/11751] │ batch_loss=4034.0303 │ grad_norm=57589.2656
  Epoch 3/10 [  100/11751] │ batch_loss=4684.5557 │ grad_norm=93378.6328
  Epoch 3/10 [  110/11751] │ batch_loss=17174.7500 │ grad_norm=262910.9062
  Epoch 3/10 [  120/11751] │ batch_loss=13963.6514 │ grad_norm=326642.0312
  Epoch 3/10 [  130/11751] │ batch_loss=7225.0562 │ grad_norm=87233.1328
  Epoch 3/10 [  140/11751] │ batch_loss=4109.9868 │ grad_norm=56059.5938
  Epoch 3/10 [  150/11751] │ batch_loss=3349.6055 │ grad_norm=75893.0469
  Epoch 3/10 [  160/11751] │ batch_loss=3042.8022 │ grad_norm=58834.9961
  Epoch 3/10 [  170/11751] │ batch_loss=13641.6289 │ grad_norm=448006.6875
  Epoch 3/10 [  180/11751] │ batch_loss=13590.0723 │ grad_norm=377387.1875
  Epoch 3/10 [  190/11751] │ batch_loss=30193.8340 │ grad_norm=563171.0000
  Epoch 3/10 [  200/11751] │ batch_loss=7925.4116 │ grad_norm=167689.2969
  Epoch 3/10 [  210/11751] │ batch_loss=7807.6226 │ grad_norm=121036.5078
  Epoch 3/10 [  220/11751] │ batch_loss=3077.7039 │ grad_norm=43181.9219
  Epoch 3/10 [  230/11751] │ batch_loss=7214.1226 │ grad_norm=136295.1875
  Epoch 3/10 [  240/11751] │ batch_loss=26249.1680 │ grad_norm=307023.4375
  Epoch 3/10 [  250/11751] │ batch_loss=10364.7715 │ grad_norm=241662.6094
  Epoch 3/10 [  260/11751] │ batch_loss=10217.7812 │ grad_norm=255181.8906
  Epoch 3/10 [  270/11751] │ batch_loss=20376.7754 │ grad_norm=216526.9219
  Epoch 3/10 [  280/11751] │ batch_loss=2887.5906 │ grad_norm=50371.8867
  Epoch 3/10 [  290/11751] │ batch_loss=10108.6787 │ grad_norm=185204.1719
  Epoch 3/10 [  300/11751] │ batch_loss=4675.9702 │ grad_norm=76586.6875
  Epoch 3/10 [  310/11751] │ batch_loss=8354.4854 │ grad_norm=149392.5156
  Epoch 3/10 [  320/11751] │ batch_loss=2769.0059 │ grad_norm=54141.0977
  Epoch 3/10 [  330/11751] │ batch_loss=2676.5303 │ grad_norm=46295.5820
  Epoch 3/10 [  340/11751] │ batch_loss=5079.5776 │ grad_norm=170762.7656
  Epoch 3/10 [  350/11751] │ batch_loss=4728.7871 │ grad_norm=94123.4609
  Epoch 3/10 [  360/11751] │ batch_loss=8310.7695 │ grad_norm=196063.5312
  Epoch 3/10 [  370/11751] │ batch_loss=15075.3574 │ grad_norm=318254.8125
  Epoch 3/10 [  380/11751] │ batch_loss=2399.1450 │ grad_norm=41586.8086
  Epoch 3/10 [  390/11751] │ batch_loss=7808.8945 │ grad_norm=191060.7188
  Epoch 3/10 [  400/11751] │ batch_loss=3721.3926 │ grad_norm=75488.9531
  Epoch 3/10 [  410/11751] │ batch_loss=5709.9741 │ grad_norm=142509.5156
  Epoch 3/10 [  420/11751] │ batch_loss=6525.0459 │ grad_norm=159066.7500
  Epoch 3/10 [  430/11751] │ batch_loss=7215.2456 │ grad_norm=139099.0938
  Epoch 3/10 [  440/11751] │ batch_loss=12174.6514 │ grad_norm=186946.6406
  Epoch 3/10 [  450/11751] │ batch_loss=7338.7617 │ grad_norm=163817.3750
  Epoch 3/10 [  460/11751] │ batch_loss=2837.9187 │ grad_norm=97125.1328
  Epoch 3/10 [  470/11751] │ batch_loss=6537.2812 │ grad_norm=157616.5469
  Epoch 3/10 [  480/11751] │ batch_loss=1719.7152 │ grad_norm=44539.1758
  Epoch 3/10 [  490/11751] │ batch_loss=8425.2598 │ grad_norm=142446.9062
  Epoch 3/10 [  500/11751] │ batch_loss=7559.0820 │ grad_norm=140414.7812
  Epoch 3/10 [  510/11751] │ batch_loss=14117.7168 │ grad_norm=218113.8906
  Epoch 3/10 [  520/11751] │ batch_loss=3730.8130 │ grad_norm=66160.0469
  Epoch 3/10 [  530/11751] │ batch_loss=6474.8804 │ grad_norm=140042.6406
  Epoch 3/10 [  540/11751] │ batch_loss=3793.7124 │ grad_norm=61453.1953
  Epoch 3/10 [  550/11751] │ batch_loss=11894.1680 │ grad_norm=263914.5938
  Epoch 3/10 [  560/11751] │ batch_loss=13354.3848 │ grad_norm=232945.5625
  Epoch 3/10 [  570/11751] │ batch_loss=5441.7568 │ grad_norm=105342.8516
  Epoch 3/10 [  580/11751] │ batch_loss=6794.2725 │ grad_norm=157718.2656
  Epoch 3/10 [  590/11751] │ batch_loss=3779.0327 │ grad_norm=57664.7148
  Epoch 3/10 [  600/11751] │ batch_loss=4756.4443 │ grad_norm=77762.7031
  Epoch 3/10 [  610/11751] │ batch_loss=5814.4600 │ grad_norm=87814.4453
  Epoch 3/10 [  620/11751] │ batch_loss=5451.0737 │ grad_norm=121585.9609
  Epoch 3/10 [  630/11751] │ batch_loss=4025.7156 │ grad_norm=68101.4531
  Epoch 3/10 [  640/11751] │ batch_loss=11377.7178 │ grad_norm=151427.5312
  Epoch 3/10 [  650/11751] │ batch_loss=7652.8569 │ grad_norm=174845.3281
  Epoch 3/10 [  660/11751] │ batch_loss=5468.7925 │ grad_norm=119720.3516
  Epoch 3/10 [  670/11751] │ batch_loss=55975.6953 │ grad_norm=431407.8125
  Epoch 3/10 [  680/11751] │ batch_loss=3847.1152 │ grad_norm=61495.6484
  Epoch 3/10 [  690/11751] │ batch_loss=12389.5020 │ grad_norm=325130.5938
  Epoch 3/10 [  700/11751] │ batch_loss=10716.6943 │ grad_norm=204026.5469
  Epoch 3/10 [  710/11751] │ batch_loss=5865.4697 │ grad_norm=116694.6484
  Epoch 3/10 [  720/11751] │ batch_loss=10817.5820 │ grad_norm=289464.6562
  Epoch 3/10 [  730/11751] │ batch_loss=12045.9365 │ grad_norm=152543.9219
  Epoch 3/10 [  740/11751] │ batch_loss=4344.6431 │ grad_norm=99313.7422
  Epoch 3/10 [  750/11751] │ batch_loss=2651.0615 │ grad_norm=68514.7969
  Epoch 3/10 [  760/11751] │ batch_loss=5018.4468 │ grad_norm=91149.0547
  Epoch 3/10 [  770/11751] │ batch_loss=5454.0640 │ grad_norm=122642.1953
  Epoch 3/10 [  780/11751] │ batch_loss=8059.6514 │ grad_norm=105793.9141
