Starting model=rnn epochs=10 batch=2 on host pax048
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sun Apr 26 06:27:02 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40                     On  |   00000000:CA:00.0 Off |                    0 |
| N/A   32C    P8             35W /  300W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA L40
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/rnn/runs/job-483063/latest.pt (next epoch 4)
  Epoch 4/10 [   10/10445] │ batch_loss=6661.7163 │ grad_norm=186271.2500
  Epoch 4/10 [   20/10445] │ batch_loss=8061.9492 │ grad_norm=293210.8125
  Epoch 4/10 [   30/10445] │ batch_loss=3691.0964 │ grad_norm=118294.1406
  Epoch 4/10 [   40/10445] │ batch_loss=8569.5781 │ grad_norm=248635.7969
  Epoch 4/10 [   50/10445] │ batch_loss=5675.8779 │ grad_norm=81905.3594
  Epoch 4/10 [   60/10445] │ batch_loss=11615.3047 │ grad_norm=147803.7031
  Epoch 4/10 [   70/10445] │ batch_loss=4542.3354 │ grad_norm=75409.1250
  Epoch 4/10 [   80/10445] │ batch_loss=6247.9248 │ grad_norm=254500.4375
  Epoch 4/10 [   90/10445] │ batch_loss=8016.2930 │ grad_norm=172478.9375
  Epoch 4/10 [  100/10445] │ batch_loss=8629.8105 │ grad_norm=76043.6328
  Epoch 4/10 [  110/10445] │ batch_loss=6988.7832 │ grad_norm=107596.4219
  Epoch 4/10 [  120/10445] │ batch_loss=5248.8423 │ grad_norm=247570.3906
  Epoch 4/10 [  130/10445] │ batch_loss=1380.6860 │ grad_norm=39491.4141
  Epoch 4/10 [  140/10445] │ batch_loss=4011.2480 │ grad_norm=125767.8438
  Epoch 4/10 [  150/10445] │ batch_loss=4349.3057 │ grad_norm=118748.4531
  Epoch 4/10 [  160/10445] │ batch_loss=6583.9741 │ grad_norm=268587.0000
  Epoch 4/10 [  170/10445] │ batch_loss=4612.4072 │ grad_norm=135971.5625
  Epoch 4/10 [  180/10445] │ batch_loss=3283.7832 │ grad_norm=75450.3828
  Epoch 4/10 [  190/10445] │ batch_loss=8447.8701 │ grad_norm=233073.3125
  Epoch 4/10 [  200/10445] │ batch_loss=2803.3882 │ grad_norm=93920.5781
  Epoch 4/10 [  210/10445] │ batch_loss=3015.5229 │ grad_norm=124995.1328
  Epoch 4/10 [  220/10445] │ batch_loss=11795.0420 │ grad_norm=224771.6875
  Epoch 4/10 [  230/10445] │ batch_loss=10885.2656 │ grad_norm=207875.4062
  Epoch 4/10 [  240/10445] │ batch_loss=2603.9448 │ grad_norm=72227.5391
  Epoch 4/10 [  250/10445] │ batch_loss=4610.1045 │ grad_norm=184501.2500
  Epoch 4/10 [  260/10445] │ batch_loss=1453.1459 │ grad_norm=52092.1875
  Epoch 4/10 [  270/10445] │ batch_loss=4482.1577 │ grad_norm=74133.3672
  Epoch 4/10 [  280/10445] │ batch_loss=20762.6719 │ grad_norm=908379.5625
  Epoch 4/10 [  290/10445] │ batch_loss=2104.5603 │ grad_norm=62755.2461
  Epoch 4/10 [  300/10445] │ batch_loss=13397.3926 │ grad_norm=267489.1250
  Epoch 4/10 [  310/10445] │ batch_loss=62428.5898 │ grad_norm=1737707.5000
  Epoch 4/10 [  320/10445] │ batch_loss=4753.5625 │ grad_norm=157336.9219
  Epoch 4/10 [  330/10445] │ batch_loss=3744.4939 │ grad_norm=68143.7578
  Epoch 4/10 [  340/10445] │ batch_loss=31478.8496 │ grad_norm=952834.5625
  Epoch 4/10 [  350/10445] │ batch_loss=6451.4092 │ grad_norm=265512.2812
  Epoch 4/10 [  360/10445] │ batch_loss=4341.8564 │ grad_norm=147242.7344
  Epoch 4/10 [  370/10445] │ batch_loss=19117.2383 │ grad_norm=218375.5625
  Epoch 4/10 [  380/10445] │ batch_loss=3604.2800 │ grad_norm=141998.4219
  Epoch 4/10 [  390/10445] │ batch_loss=6420.8008 │ grad_norm=318941.6875
  Epoch 4/10 [  400/10445] │ batch_loss=9170.1914 │ grad_norm=360776.6875
  Epoch 4/10 [  410/10445] │ batch_loss=6130.0327 │ grad_norm=204933.1719
  Epoch 4/10 [  420/10445] │ batch_loss=4792.7324 │ grad_norm=146731.2812
  Epoch 4/10 [  430/10445] │ batch_loss=7442.5000 │ grad_norm=164683.9688
  Epoch 4/10 [  440/10445] │ batch_loss=5017.8325 │ grad_norm=188814.3438
  Epoch 4/10 [  450/10445] │ batch_loss=7220.3965 │ grad_norm=338365.1875
  Epoch 4/10 [  460/10445] │ batch_loss=8711.1914 │ grad_norm=238108.4062
  Epoch 4/10 [  470/10445] │ batch_loss=3637.5503 │ grad_norm=169285.5000
  Epoch 4/10 [  480/10445] │ batch_loss=7037.5010 │ grad_norm=222724.5312
  Epoch 4/10 [  490/10445] │ batch_loss=3334.5020 │ grad_norm=138585.8594
  Epoch 4/10 [  500/10445] │ batch_loss=8881.1113 │ grad_norm=455001.9688
  Epoch 4/10 [  510/10445] │ batch_loss=4440.5361 │ grad_norm=159829.8281
  Epoch 4/10 [  520/10445] │ batch_loss=3262.3174 │ grad_norm=109785.5312
  Epoch 4/10 [  530/10445] │ batch_loss=11234.4053 │ grad_norm=360356.1875
  Epoch 4/10 [  540/10445] │ batch_loss=3371.5300 │ grad_norm=59237.6797
  Epoch 4/10 [  550/10445] │ batch_loss=4246.0615 │ grad_norm=147430.6875
  Epoch 4/10 [  560/10445] │ batch_loss=7440.9312 │ grad_norm=194030.7344
  Epoch 4/10 [  570/10445] │ batch_loss=4118.8535 │ grad_norm=108248.6172
  Epoch 4/10 [  580/10445] │ batch_loss=7242.6904 │ grad_norm=273417.6875
  Epoch 4/10 [  590/10445] │ batch_loss=2285.1038 │ grad_norm=73820.4141
  Epoch 4/10 [  600/10445] │ batch_loss=5009.1904 │ grad_norm=121506.7031
  Epoch 4/10 [  610/10445] │ batch_loss=5349.7178 │ grad_norm=189741.0625
  Epoch 4/10 [  620/10445] │ batch_loss=8270.0928 │ grad_norm=105814.2734
  Epoch 4/10 [  630/10445] │ batch_loss=10842.9512 │ grad_norm=279812.4062
  Epoch 4/10 [  640/10445] │ batch_loss=4994.8164 │ grad_norm=160676.5938
  Epoch 4/10 [  650/10445] │ batch_loss=7644.3726 │ grad_norm=211672.7969
  Epoch 4/10 [  660/10445] │ batch_loss=11006.0723 │ grad_norm=373023.9688
  Epoch 4/10 [  670/10445] │ batch_loss=5022.6855 │ grad_norm=120024.3750
  Epoch 4/10 [  680/10445] │ batch_loss=4293.0723 │ grad_norm=73353.7188
  Epoch 4/10 [  690/10445] │ batch_loss=23673.7969 │ grad_norm=671203.1875
  Epoch 4/10 [  700/10445] │ batch_loss=3856.7039 │ grad_norm=96169.9688
  Epoch 4/10 [  710/10445] │ batch_loss=3545.9780 │ grad_norm=158580.2969
  Epoch 4/10 [  720/10445] │ batch_loss=7955.4141 │ grad_norm=334589.1875
  Epoch 4/10 [  730/10445] │ batch_loss=4779.5605 │ grad_norm=92931.5156
  Epoch 4/10 [  740/10445] │ batch_loss=2054.1011 │ grad_norm=55315.7852
  Epoch 4/10 [  750/10445] │ batch_loss=2398.9031 │ grad_norm=62661.2148
  Epoch 4/10 [  760/10445] │ batch_loss=3169.1294 │ grad_norm=58668.8008
  Epoch 4/10 [  770/10445] │ batch_loss=6712.1396 │ grad_norm=321840.4375
  Epoch 4/10 [  780/10445] │ batch_loss=5064.0444 │ grad_norm=146324.2344
