Starting model=transformer epochs=10 batch=2 on host pax064
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sun Apr 26 19:20:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:3F:00.0 Off |                    0 |
| N/A   33C    P8             35W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA L40S
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/transformer/runs/job-483062/latest.pt (next epoch 6)
  Epoch 6/10 [   10/11751] │ batch_loss=2597.9075 │ grad_norm=62598.5352
  Epoch 6/10 [   20/11751] │ batch_loss=1683.2181 │ grad_norm=30854.9238
  Epoch 6/10 [   30/11751] │ batch_loss=4274.2178 │ grad_norm=88304.9922
  Epoch 6/10 [   40/11751] │ batch_loss=1693.3051 │ grad_norm=46935.8672
  Epoch 6/10 [   50/11751] │ batch_loss=1617.4785 │ grad_norm=61696.6484
  Epoch 6/10 [   60/11751] │ batch_loss=1649.3125 │ grad_norm=33209.3281
  Epoch 6/10 [   70/11751] │ batch_loss=3296.6855 │ grad_norm=65091.9648
  Epoch 6/10 [   80/11751] │ batch_loss=1978.6599 │ grad_norm=36641.1914
  Epoch 6/10 [   90/11751] │ batch_loss=4548.3320 │ grad_norm=76608.3672
  Epoch 6/10 [  100/11751] │ batch_loss=2008.7563 │ grad_norm=63031.5312
  Epoch 6/10 [  110/11751] │ batch_loss=2772.5117 │ grad_norm=74132.1797
  Epoch 6/10 [  120/11751] │ batch_loss=2766.7632 │ grad_norm=76227.0156
  Epoch 6/10 [  130/11751] │ batch_loss=1598.5306 │ grad_norm=54705.0703
  Epoch 6/10 [  140/11751] │ batch_loss=3324.5527 │ grad_norm=60493.8750
  Epoch 6/10 [  150/11751] │ batch_loss=1278.5022 │ grad_norm=36292.5664
  Epoch 6/10 [  160/11751] │ batch_loss=1339.5603 │ grad_norm=39144.0430
  Epoch 6/10 [  170/11751] │ batch_loss=8393.2559 │ grad_norm=250474.0469
  Epoch 6/10 [  180/11751] │ batch_loss=1498.6243 │ grad_norm=29385.1270
  Epoch 6/10 [  190/11751] │ batch_loss=1248.3926 │ grad_norm=20163.7520
  Epoch 6/10 [  200/11751] │ batch_loss=6876.1553 │ grad_norm=130316.8359
  Epoch 6/10 [  210/11751] │ batch_loss=2261.7192 │ grad_norm=45350.8633
  Epoch 6/10 [  220/11751] │ batch_loss=8564.2344 │ grad_norm=257378.5625
  Epoch 6/10 [  230/11751] │ batch_loss=3574.1528 │ grad_norm=100362.7188
  Epoch 6/10 [  240/11751] │ batch_loss=6527.3804 │ grad_norm=147767.5469
  Epoch 6/10 [  250/11751] │ batch_loss=3593.3589 │ grad_norm=110613.7969
  Epoch 6/10 [  260/11751] │ batch_loss=5371.3711 │ grad_norm=72442.5859
  Epoch 6/10 [  270/11751] │ batch_loss=2098.3892 │ grad_norm=51699.3125
  Epoch 6/10 [  280/11751] │ batch_loss=3193.2302 │ grad_norm=87872.2734
  Epoch 6/10 [  290/11751] │ batch_loss=3090.6704 │ grad_norm=114305.6484
  Epoch 6/10 [  300/11751] │ batch_loss=8384.6846 │ grad_norm=164228.2344
  Epoch 6/10 [  310/11751] │ batch_loss=5508.8301 │ grad_norm=101721.3047
  Epoch 6/10 [  320/11751] │ batch_loss=1897.9714 │ grad_norm=32824.9766
  Epoch 6/10 [  330/11751] │ batch_loss=2184.2175 │ grad_norm=51732.7539
  Epoch 6/10 [  340/11751] │ batch_loss=2180.6362 │ grad_norm=57363.1758
  Epoch 6/10 [  350/11751] │ batch_loss=8013.2593 │ grad_norm=231943.1406
  Epoch 6/10 [  360/11751] │ batch_loss=1450.5061 │ grad_norm=33338.9844
  Epoch 6/10 [  370/11751] │ batch_loss=2585.1079 │ grad_norm=79144.4375
  Epoch 6/10 [  380/11751] │ batch_loss=1187.7671 │ grad_norm=21133.8691
  Epoch 6/10 [  390/11751] │ batch_loss=1800.1487 │ grad_norm=31353.5996
  Epoch 6/10 [  400/11751] │ batch_loss=2474.0667 │ grad_norm=93384.0781
  Epoch 6/10 [  410/11751] │ batch_loss=1473.5955 │ grad_norm=28555.1914
  Epoch 6/10 [  420/11751] │ batch_loss=2367.9609 │ grad_norm=87623.4531
  Epoch 6/10 [  430/11751] │ batch_loss=3103.6960 │ grad_norm=121554.0078
  Epoch 6/10 [  440/11751] │ batch_loss=2930.2666 │ grad_norm=104373.2891
  Epoch 6/10 [  450/11751] │ batch_loss=5483.0469 │ grad_norm=113190.5078
  Epoch 6/10 [  460/11751] │ batch_loss=7640.6836 │ grad_norm=310830.0938
  Epoch 6/10 [  470/11751] │ batch_loss=3198.1833 │ grad_norm=87453.8438
  Epoch 6/10 [  480/11751] │ batch_loss=2590.4639 │ grad_norm=45449.6016
  Epoch 6/10 [  490/11751] │ batch_loss=3276.5730 │ grad_norm=95048.0234
  Epoch 6/10 [  500/11751] │ batch_loss=9793.5000 │ grad_norm=144285.3125
  Epoch 6/10 [  510/11751] │ batch_loss=6896.9561 │ grad_norm=173468.5938
  Epoch 6/10 [  520/11751] │ batch_loss=1826.9692 │ grad_norm=41313.7266
  Epoch 6/10 [  530/11751] │ batch_loss=2360.3472 │ grad_norm=58395.1914
  Epoch 6/10 [  540/11751] │ batch_loss=6806.7070 │ grad_norm=178811.5312
  Epoch 6/10 [  550/11751] │ batch_loss=1855.3284 │ grad_norm=36654.2383
  Epoch 6/10 [  560/11751] │ batch_loss=1401.3939 │ grad_norm=33884.4961
  Epoch 6/10 [  570/11751] │ batch_loss=3675.0747 │ grad_norm=76171.9297
  Epoch 6/10 [  580/11751] │ batch_loss=1955.4031 │ grad_norm=48148.1172
  Epoch 6/10 [  590/11751] │ batch_loss=1174.3932 │ grad_norm=36511.6758
  Epoch 6/10 [  600/11751] │ batch_loss=8325.9297 │ grad_norm=196588.3750
  Epoch 6/10 [  610/11751] │ batch_loss=2509.7380 │ grad_norm=61968.1016
  Epoch 6/10 [  620/11751] │ batch_loss=2623.1934 │ grad_norm=40446.8438
  Epoch 6/10 [  630/11751] │ batch_loss=6686.8662 │ grad_norm=123002.3516
  Epoch 6/10 [  640/11751] │ batch_loss=1710.6990 │ grad_norm=39797.4258
  Epoch 6/10 [  650/11751] │ batch_loss=2678.1199 │ grad_norm=55138.1602
  Epoch 6/10 [  660/11751] │ batch_loss=7398.2886 │ grad_norm=214174.5312
  Epoch 6/10 [  670/11751] │ batch_loss=1972.0635 │ grad_norm=48447.8984
  Epoch 6/10 [  680/11751] │ batch_loss=2674.9451 │ grad_norm=87655.9609
  Epoch 6/10 [  690/11751] │ batch_loss=1868.2689 │ grad_norm=37467.6289
  Epoch 6/10 [  700/11751] │ batch_loss=1608.4150 │ grad_norm=31308.9629
  Epoch 6/10 [  710/11751] │ batch_loss=1636.1873 │ grad_norm=34360.3945
  Epoch 6/10 [  720/11751] │ batch_loss=4110.8115 │ grad_norm=117970.2969
  Epoch 6/10 [  730/11751] │ batch_loss=1744.4094 │ grad_norm=68732.8438
  Epoch 6/10 [  740/11751] │ batch_loss=3391.0750 │ grad_norm=87352.6172
  Epoch 6/10 [  750/11751] │ batch_loss=1489.5375 │ grad_norm=45781.7656
  Epoch 6/10 [  760/11751] │ batch_loss=9813.6582 │ grad_norm=305161.2500
  Epoch 6/10 [  770/11751] │ batch_loss=9516.0234 │ grad_norm=279575.1250
  Epoch 6/10 [  780/11751] │ batch_loss=3155.3901 │ grad_norm=81827.2578
