Starting model=rnn epochs=10 batch=2 on host pax064
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sun Apr 26 19:20:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:B1:00.0 Off |                    0 |
| N/A   35C    P8             33W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA L40S
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/rnn/runs/job-483063/latest.pt (next epoch 8)
  Epoch 8/10 [   10/10445] │ batch_loss=1237.7797 │ grad_norm=30242.4512
  Epoch 8/10 [   20/10445] │ batch_loss=2777.7886 │ grad_norm=90192.8281
  Epoch 8/10 [   30/10445] │ batch_loss=2722.7361 │ grad_norm=80204.1172
  Epoch 8/10 [   40/10445] │ batch_loss=5313.2998 │ grad_norm=206146.1406
  Epoch 8/10 [   50/10445] │ batch_loss=2157.8789 │ grad_norm=50888.2695
  Epoch 8/10 [   60/10445] │ batch_loss=1819.6794 │ grad_norm=71990.9922
  Epoch 8/10 [   70/10445] │ batch_loss=1798.0439 │ grad_norm=54524.6016
  Epoch 8/10 [   80/10445] │ batch_loss=1593.1019 │ grad_norm=54744.4375
  Epoch 8/10 [   90/10445] │ batch_loss=1180.0155 │ grad_norm=36338.6797
  Epoch 8/10 [  100/10445] │ batch_loss=1976.6843 │ grad_norm=72678.9375
  Epoch 8/10 [  110/10445] │ batch_loss=4052.8477 │ grad_norm=237147.0625
  Epoch 8/10 [  120/10445] │ batch_loss=3545.1621 │ grad_norm=196195.1250
  Epoch 8/10 [  130/10445] │ batch_loss=2907.2869 │ grad_norm=117923.2812
  Epoch 8/10 [  140/10445] │ batch_loss=1100.8231 │ grad_norm=27142.2070
  Epoch 8/10 [  150/10445] │ batch_loss=1934.2992 │ grad_norm=49564.5586
  Epoch 8/10 [  160/10445] │ batch_loss=1600.5759 │ grad_norm=51396.1367
  Epoch 8/10 [  170/10445] │ batch_loss=1537.0166 │ grad_norm=68455.6641
  Epoch 8/10 [  180/10445] │ batch_loss=1288.9763 │ grad_norm=41101.7617
  Epoch 8/10 [  190/10445] │ batch_loss=2361.0264 │ grad_norm=52206.7695
  Epoch 8/10 [  200/10445] │ batch_loss=4570.5405 │ grad_norm=136312.1250
  Epoch 8/10 [  210/10445] │ batch_loss=1295.6899 │ grad_norm=32269.4414
  Epoch 8/10 [  220/10445] │ batch_loss=3549.6274 │ grad_norm=393379.8750
  Epoch 8/10 [  230/10445] │ batch_loss=5003.1543 │ grad_norm=159926.3438
  Epoch 8/10 [  240/10445] │ batch_loss=2251.9128 │ grad_norm=72420.9297
  Epoch 8/10 [  250/10445] │ batch_loss=13224.3828 │ grad_norm=590670.4375
  Epoch 8/10 [  260/10445] │ batch_loss=1949.9294 │ grad_norm=77714.1719
  Epoch 8/10 [  270/10445] │ batch_loss=2265.8521 │ grad_norm=99227.0547
  Epoch 8/10 [  280/10445] │ batch_loss=1774.8613 │ grad_norm=38552.0000
  Epoch 8/10 [  290/10445] │ batch_loss=2498.9563 │ grad_norm=53068.6406
  Epoch 8/10 [  300/10445] │ batch_loss=2599.9658 │ grad_norm=138427.5781
  Epoch 8/10 [  310/10445] │ batch_loss=2205.3667 │ grad_norm=85945.3594
  Epoch 8/10 [  320/10445] │ batch_loss=3557.7927 │ grad_norm=68222.6797
  Epoch 8/10 [  330/10445] │ batch_loss=6107.2539 │ grad_norm=265892.8125
  Epoch 8/10 [  340/10445] │ batch_loss=4537.0664 │ grad_norm=188224.2031
  Epoch 8/10 [  350/10445] │ batch_loss=1517.0977 │ grad_norm=64740.8438
  Epoch 8/10 [  360/10445] │ batch_loss=1725.5101 │ grad_norm=62248.5039
  Epoch 8/10 [  370/10445] │ batch_loss=2867.5847 │ grad_norm=91364.4688
  Epoch 8/10 [  380/10445] │ batch_loss=1459.6887 │ grad_norm=50621.3555
  Epoch 8/10 [  390/10445] │ batch_loss=3582.5623 │ grad_norm=64578.0273
  Epoch 8/10 [  400/10445] │ batch_loss=1979.6248 │ grad_norm=64513.5078
  Epoch 8/10 [  410/10445] │ batch_loss=6142.1777 │ grad_norm=301847.2188
  Epoch 8/10 [  420/10445] │ batch_loss=1348.1515 │ grad_norm=49136.0938
  Epoch 8/10 [  430/10445] │ batch_loss=2402.4622 │ grad_norm=58261.4570
  Epoch 8/10 [  440/10445] │ batch_loss=17707.1914 │ grad_norm=760881.8125
  Epoch 8/10 [  450/10445] │ batch_loss=1553.3734 │ grad_norm=39921.2734
  Epoch 8/10 [  460/10445] │ batch_loss=1818.8259 │ grad_norm=69804.2031
  Epoch 8/10 [  470/10445] │ batch_loss=4143.9902 │ grad_norm=111089.1719
  Epoch 8/10 [  480/10445] │ batch_loss=2298.3301 │ grad_norm=61418.8398
  Epoch 8/10 [  490/10445] │ batch_loss=2870.6797 │ grad_norm=72583.7109
  Epoch 8/10 [  500/10445] │ batch_loss=1090.5481 │ grad_norm=49257.6250
  Epoch 8/10 [  510/10445] │ batch_loss=7139.2451 │ grad_norm=254441.8906
  Epoch 8/10 [  520/10445] │ batch_loss=1753.0586 │ grad_norm=46792.8516
  Epoch 8/10 [  530/10445] │ batch_loss=2523.7292 │ grad_norm=68141.3125
  Epoch 8/10 [  540/10445] │ batch_loss=1829.0371 │ grad_norm=48133.8633
  Epoch 8/10 [  550/10445] │ batch_loss=3382.9792 │ grad_norm=111538.8516
  Epoch 8/10 [  560/10445] │ batch_loss=1318.9243 │ grad_norm=30809.4141
  Epoch 8/10 [  570/10445] │ batch_loss=1202.4811 │ grad_norm=26272.3555
  Epoch 8/10 [  580/10445] │ batch_loss=2032.6450 │ grad_norm=47028.3867
  Epoch 8/10 [  590/10445] │ batch_loss=6782.2671 │ grad_norm=177727.1719
  Epoch 8/10 [  600/10445] │ batch_loss=1521.5889 │ grad_norm=65813.8906
  Epoch 8/10 [  610/10445] │ batch_loss=2023.0403 │ grad_norm=37667.7031
  Epoch 8/10 [  620/10445] │ batch_loss=5539.6113 │ grad_norm=134464.7188
  Epoch 8/10 [  630/10445] │ batch_loss=4316.0205 │ grad_norm=145394.0625
  Epoch 8/10 [  640/10445] │ batch_loss=1797.4634 │ grad_norm=79802.0000
  Epoch 8/10 [  650/10445] │ batch_loss=1669.7097 │ grad_norm=29723.2227
  Epoch 8/10 [  660/10445] │ batch_loss=1486.2932 │ grad_norm=35715.0742
  Epoch 8/10 [  670/10445] │ batch_loss=2216.8357 │ grad_norm=52243.2305
  Epoch 8/10 [  680/10445] │ batch_loss=2406.2661 │ grad_norm=72661.7656
  Epoch 8/10 [  690/10445] │ batch_loss=3902.2183 │ grad_norm=141748.5625
  Epoch 8/10 [  700/10445] │ batch_loss=1410.0562 │ grad_norm=59475.2852
  Epoch 8/10 [  710/10445] │ batch_loss=5036.5425 │ grad_norm=144980.9062
  Epoch 8/10 [  720/10445] │ batch_loss=3471.2476 │ grad_norm=93046.9531
  Epoch 8/10 [  730/10445] │ batch_loss=2923.3911 │ grad_norm=82176.0781
  Epoch 8/10 [  740/10445] │ batch_loss=2260.3135 │ grad_norm=48200.0469
  Epoch 8/10 [  750/10445] │ batch_loss=1735.5818 │ grad_norm=93263.5938
  Epoch 8/10 [  760/10445] │ batch_loss=5448.7974 │ grad_norm=195796.0781
  Epoch 8/10 [  770/10445] │ batch_loss=2513.0459 │ grad_norm=63823.8906
  Epoch 8/10 [  780/10445] │ batch_loss=1433.5243 │ grad_norm=31690.4844
  Epoch 8/10 [  790/10445] │ batch_loss=2740.9863 │ grad_norm=75703.4141
  Epoch 8/10 [  800/10445] │ batch_loss=2346.5945 │ grad_norm=125283.3047
  Epoch 8/10 [  810/10445] │ batch_loss=4330.7324 │ grad_norm=161925.4062
  Epoch 8/10 [  820/10445] │ batch_loss=2319.5505 │ grad_norm=121629.1406
  Epoch 8/10 [  830/10445] │ batch_loss=2587.3677 │ grad_norm=92445.8438
  Epoch 8/10 [  840/10445] │ batch_loss=1816.8215 │ grad_norm=53758.3906
  Epoch 8/10 [  850/10445] │ batch_loss=4169.3892 │ grad_norm=199772.1562
  Epoch 8/10 [  860/10445] │ batch_loss=2820.5903 │ grad_norm=63357.5234
  Epoch 8/10 [  870/10445] │ batch_loss=3096.7471 │ grad_norm=152520.9375
  Epoch 8/10 [  880/10445] │ batch_loss=2557.0356 │ grad_norm=77008.5000
  Epoch 8/10 [  890/10445] │ batch_loss=1485.2764 │ grad_norm=65114.7656
  Epoch 8/10 [  900/10445] │ batch_loss=3020.5242 │ grad_norm=74308.2969
  Epoch 8/10 [  910/10445] │ batch_loss=4404.4917 │ grad_norm=153145.9844
  Epoch 8/10 [  920/10445] │ batch_loss=11709.3936 │ grad_norm=418481.0938
  Epoch 8/10 [  930/10445] │ batch_loss=2236.6270 │ grad_norm=63340.8633
  Epoch 8/10 [  940/10445] │ batch_loss=1808.3423 │ grad_norm=38581.6641
  Epoch 8/10 [  950/10445] │ batch_loss=4316.0410 │ grad_norm=169529.7344
  Epoch 8/10 [  960/10445] │ batch_loss=944.0073 │ grad_norm=18403.0527
  Epoch 8/10 [  970/10445] │ batch_loss=5511.5938 │ grad_norm=141941.5625
  Epoch 8/10 [  980/10445] │ batch_loss=1969.2412 │ grad_norm=61552.6719
  Epoch 8/10 [  990/10445] │ batch_loss=1805.2656 │ grad_norm=69323.6484
  Epoch 8/10 [ 1000/10445] │ batch_loss=6018.5762 │ grad_norm=298573.4062
  Epoch 8/10 [ 1010/10445] │ batch_loss=1394.2484 │ grad_norm=40112.9805
  Epoch 8/10 [ 1020/10445] │ batch_loss=2323.4614 │ grad_norm=79547.2422
  Epoch 8/10 [ 1030/10445] │ batch_loss=1518.6094 │ grad_norm=46726.3984
  Epoch 8/10 [ 1040/10445] │ batch_loss=1502.9740 │ grad_norm=68301.6719
  Epoch 8/10 [ 1050/10445] │ batch_loss=1470.2064 │ grad_norm=45836.3047
  Epoch 8/10 [ 1060/10445] │ batch_loss=1389.6873 │ grad_norm=47732.6406
  Epoch 8/10 [ 1070/10445] │ batch_loss=1766.5771 │ grad_norm=66826.8438
  Epoch 8/10 [ 1080/10445] │ batch_loss=2657.6782 │ grad_norm=80860.0781
  Epoch 8/10 [ 1090/10445] │ batch_loss=1678.5463 │ grad_norm=62616.3164
  Epoch 8/10 [ 1100/10445] │ batch_loss=2790.6387 │ grad_norm=99849.8281
  Epoch 8/10 [ 1110/10445] │ batch_loss=1196.5112 │ grad_norm=35531.9805
  Epoch 8/10 [ 1120/10445] │ batch_loss=16186.3828 │ grad_norm=850009.9375
  Epoch 8/10 [ 1130/10445] │ batch_loss=2689.9470 │ grad_norm=81210.8906
  Epoch 8/10 [ 1140/10445] │ batch_loss=1379.1853 │ grad_norm=29050.0664
  Epoch 8/10 [ 1150/10445] │ batch_loss=1076.8451 │ grad_norm=24709.5684
  Epoch 8/10 [ 1160/10445] │ batch_loss=1871.8578 │ grad_norm=38931.6797
  Epoch 8/10 [ 1170/10445] │ batch_loss=1807.8330 │ grad_norm=48442.9258
  Epoch 8/10 [ 1180/10445] │ batch_loss=2411.5752 │ grad_norm=105853.6797
  Epoch 8/10 [ 1190/10445] │ batch_loss=1079.4076 │ grad_norm=35259.8945
  Epoch 8/10 [ 1200/10445] │ batch_loss=2335.1157 │ grad_norm=105473.6797
